accommodates,bathrooms,bedrooms,beds,cleaning_fee,host_response_rate,room_type_Entire home/apt,room_type_Private room,instant_bookable_t,"""Air conditioning""","""Coffee maker""","""Cooking basics""","""Family/kid friendly""","""Free parking on premises""","""Hot water""","""Private entrance""","""Self Check-In""","""Wireless Internet""",Kitchen,longitude,latitude,"""Hair dryer""","""Laptop friendly workspace""",log_price,Iron,Shampoo,Hangers,Dryer,Washer,"""First aid kit""",Essentials,"""Smoke detector""",TV,review_scores_rating
3,1.0,1.0,1.0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,-73.99161684624262,40.69652362997076,1,0,5.010635294096256,1,0,0,0,0,0,1,0,0,100.0
7,1.0,3.0,3.0,1,100,1,0,1,1,0,0,1,0,0,0,0,1,1,-73.98903992265213,40.766115415949685,1,0,5.1298987149230735,1,1,1,1,1,0,1,1,0,93.0
5,1.0,1.0,3.0,1,100,1,0,1,1,0,0,1,0,0,0,0,1,1,-73.94375584395794,40.80810998936211,1,1,4.976733742420574,1,1,1,0,0,0,1,1,1,92.0
2,1.0,0.0,1.0,1,100,1,0,1,1,0,0,0,0,0,0,0,1,1,-77.0345955156553,38.925626916626506,0,0,4.74493212836325,0,1,0,0,0,0,1,1,1,40.0
2,1.0,1.0,1.0,1,100,0,1,1,0,0,0,0,0,0,0,0,1,0,-122.4295260773271,37.7531640472884,0,1,4.442651256490317,0,0,1,0,0,1,1,1,1,100.0
3,1.0,1.0,1.0,1,100,1,0,1,1,0,0,1,1,0,0,0,1,1,-118.46282073746792,33.980454397275096,1,1,4.4188406077965965,0,1,1,1,1,0,1,1,1,97.0
2,1.0,1.0,1.0,1,100,1,0,0,0,0,0,1,1,0,0,0,1,1,-118.2604389157384,34.0467374142499,1,0,4.787491742782046,0,1,1,1,1,1,1,1,1,93.0
2,1.0,1.0,1.0,1,100,0,1,0,0,1,0,0,0,1,1,0,1,0,-122.50109524305331,37.78112798186231,1,0,4.787491742782046,0,1,1,0,0,1,1,1,1,99.0
2,1.0,1.0,1.0,1,100,0,1,1,1,0,0,1,1,0,0,0,1,1,-117.89599660615322,33.99256298219745,1,1,3.58351893845611,0,1,1,0,1,0,1,0,0,90.0
2,1.0,1.0,1.0,1,100,0,1,0,1,0,0,0,0,0,0,0,1,1,-73.98388042569023,40.72388327162678,1,1,4.605170185988092,0,0,1,1,1,0,1,1,0,93.0
4,1.5,2.0,2.0,1,100,1,0,0,0,0,0,1,1,0,0,0,1,1,-118.4032926485112,33.87586235932281,1,1,5.010635294096256,1,1,1,1,1,1,1,1,1,97.0
6,1.5,2.0,3.0,1,100,1,0,1,1,0,0,1,1,0,0,1,1,1,-77.03118942693335,38.9196300059726,1,1,5.298317366548036,1,1,1,1,1,1,1,1,1,89.0
2,1.0,1.0,1.0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,1,-118.14592576139098,33.778526474548066,1,0,4.955827057601262,0,0,0,0,0,0,1,1,0,100.0
2,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,-87.67526101647806,41.910308291446405,0,0,4.31748811353631,0,0,1,1,1,0,1,1,1,91.0
2,2.0,1.0,1.0,1,100,0,1,0,1,0,0,1,0,0,0,0,1,1,-71.04967212701762,42.33919400511304,1,1,4.59511985013459,1,1,1,0,0,1,1,1,0,88.0
2,1.0,1.0,2.0,1,71,1,0,0,1,0,0,0,0,0,0,0,1,1,-73.99028485431758,40.71908629555111,1,1,4.882801922586372,1,1,1,0,0,0,1,1,1,86.0
8,1.0,3.0,3.0,1,100,1,0,1,1,0,1,0,0,1,1,0,1,1,-73.95085465562892,40.64377261506646,1,1,4.59511985013459,1,0,1,0,0,0,1,1,1,72.0
2,1.0,1.0,1.0,1,100,0,1,0,1,0,0,1,1,0,0,0,1,1,-118.44446201340568,34.16579488038571,1,1,4.382026634673881,1,1,1,1,1,1,1,1,0,98.0
2,1.5,1.0,1.0,1,100,0,1,0,1,0,0,0,0,0,0,0,0,1,-73.9226454606154,40.65627775986394,0,0,3.688879454113936,0,0,0,0,0,0,0,1,0,89.0
4,1.0,1.0,1.0,1,100,1,0,1,1,0,0,1,1,0,0,0,1,1,-118.2673519357346,34.047002512589714,1,1,4.90527477843843,1,1,1,1,1,1,1,1,1,99.0
