accommodates,bathrooms,bedrooms,beds,cleaning_fee,host_response_rate,room_type_Entire home/apt,room_type_Private room,instant_bookable_t,"""Air conditioning""","""Coffee maker""","""Cooking basics""","""Family/kid friendly""","""Free parking on premises""","""Hot water""","""Private entrance""","""Self Check-In""","""Wireless Internet""",Kitchen,longitude,latitude,"""Hair dryer""","""Laptop friendly workspace""",log_price,Iron,Shampoo,Hangers,Dryer,Washer,"""First aid kit""",Essentials,"""Smoke detector""",TV,review_scores_rating
2,1.0,1.0,1.0,1,100,0,1,0,0,0,0,0,1,0,0,0,0,1,-118.49444940110756,34.028372378220894,1,1,0.0,1,1,1,1,1,1,1,1,1,97.0
3,1.0,1.0,1.0,1,100,1,0,0,1,0,0,0,0,1,0,1,1,1,-73.94232924998272,40.720380083292326,1,1,0.0,0,0,0,1,1,0,1,1,1,80.0
1,1.0,1.0,1.0,1,100,0,1,0,0,0,0,1,0,0,0,0,1,1,-122.4702842230142,37.78543402316095,1,1,0.0,0,1,0,0,0,1,1,1,0,100.0
1,1.0,0.0,1.0,1,100,1,0,0,0,0,0,1,1,0,0,0,1,1,-118.46347122639445,33.97602643531822,1,1,0.0,1,1,1,1,1,0,1,1,1,94.0
3,2.0,1.0,1.0,1,100,0,1,0,1,0,0,1,0,0,0,0,1,1,-118.09718631005006,34.08483457622697,1,1,0.0,0,1,1,1,1,0,1,1,1,98.0
3,1.0,1.0,2.0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,-73.93039658854245,40.85637780597313,1,0,0.0,0,1,1,0,0,0,1,1,1,97.0
3,1.0,0.0,2.0,1,70,1,0,0,1,0,0,0,0,0,0,0,1,0,-73.97441920829979,40.752038620206726,0,0,0.0,0,0,1,0,0,0,1,1,1,93.0
5,1.0,2.0,3.0,1,96,1,0,0,1,1,1,1,0,1,0,0,1,1,-71.07995065578531,42.346762218590776,1,1,0.0,1,1,1,1,1,0,1,1,1,92.0
2,1.0,1.0,1.0,1,100,1,0,0,1,0,0,0,1,0,0,0,1,1,-87.67962029790317,41.85747013676896,1,1,0.0,1,1,1,1,1,1,1,1,1,100.0
2,1.0,1.0,1.0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,-73.94382919256657,40.712851044513386,0,1,0.0,0,1,0,1,1,0,1,1,1,94.0
1,1.0,1.0,1.0,1,100,0,1,0,0,0,0,0,0,0,0,0,1,0,-118.41395063497647,34.01990323207226,0,0,0.0,0,0,0,0,0,0,1,0,0,93.0
2,1.0,1.0,1.0,1,100,1,0,0,1,0,0,1,1,0,0,0,1,1,-87.67935578462436,41.95694066007494,1,1,0.0,1,1,1,1,1,0,1,1,1,94.0
6,2.0,2.0,3.0,1,100,1,0,1,1,0,0,1,1,0,0,1,1,1,-118.26456384175953,34.050669409068604,1,1,0.0,1,1,1,1,1,0,1,1,1,100.0
4,1.0,2.0,2.0,0,100,1,0,1,0,0,0,0,0,0,0,1,1,1,-122.42905605126153,37.73536551125058,1,1,0.0,1,1,1,1,1,1,1,1,1,100.0
2,1.0,1.0,1.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,-73.9516531316069,40.70012906480825,0,0,0.0,1,1,0,0,0,1,1,1,1,73.0
6,2.5,3.0,3.0,1,100,1,0,0,0,0,0,1,0,0,0,1,1,1,-122.43441652703396,37.77836960028044,1,1,0.0,1,1,1,1,1,1,1,1,1,100.0
4,1.0,1.0,1.0,1,100,1,0,0,1,0,0,1,0,0,0,1,1,1,-74.0057787925998,40.74028608511178,1,1,0.0,1,0,1,0,0,0,1,1,1,95.0
4,2.0,2.0,2.0,1,100,1,0,0,1,0,0,1,0,0,1,1,1,1,-71.06384931204448,42.36103656084208,1,1,0.0,1,1,1,1,1,1,1,1,1,98.0
8,2.0,4.0,7.0,1,100,1,0,0,1,0,0,1,1,0,0,1,1,1,-118.35649977153356,33.88927662037978,1,0,0.0,1,1,1,1,1,1,1,1,1,99.0
2,1.0,1.0,1.0,0,100,1,0,1,1,0,0,1,0,0,0,0,1,1,-73.87749712181734,40.68537159770521,1,1,0.0,1,0,1,0,0,1,1,1,1,97.0
2,1.0,1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,-73.91119464244274,40.702916081693466,0,0,0.0,0,0,0,0,0,0,1,0,0,100.0
